"Bulk Edit Items"
"Barcode","Has Item Scanned","Source Warehouse","Target Warehouse","Item Code","Item Name","Is Finished Item","Is Extra Goods Row","Is Scrap Item","Quality Inspection","Subcontracted Item","Against Finished Good","Description","Item Group","Image","Qty","Qty as per Stock UOM","Retain Sample","UOM","Stock UOM","Conversion Factor","Sample Quantity","Basic Rate (as per Stock UOM)","Customer Provided Item Cost","Additional Cost","Landed Cost Voucher Amount","Valuation Rate","Allow Zero Valuation Rate","Set Basic Rate Manually","Basic Amount","Amount","Use Serial No / Batch Fields","Serial and Batch Bundle","Serial No","Batch No","Difference Account","Cost Center","Project","Actual Qty (at source/target)","Transferred Qty","BOM No","Allow Alternative Item","Material Request","Material Request Item","Original Item","Against Stock Entry","Stock Entry Child","PO Supplied Item","SCO Supplied Item","SCIO Detail","Putaway Rule","Reference Purchase Receipt","Job Card Item"
"barcode","has_item_scanned","s_warehouse","t_warehouse","item_code","item_name","is_finished_item","custom_is_extra_goods_row","is_scrap_item","quality_inspection","subcontracted_item","against_fg","description","item_group","image","qty","transfer_qty","retain_sample","uom","stock_uom","conversion_factor","sample_quantity","basic_rate","customer_provided_item_cost","additional_cost","landed_cost_voucher_amount","valuation_rate","allow_zero_valuation_rate","set_basic_rate_manually","basic_amount","amount","use_serial_batch_fields","serial_and_batch_bundle","serial_no","batch_no","expense_account","cost_center","project","actual_qty","transferred_qty","bom_no","allow_alternative_item","material_request","material_request_item","original_item","against_stock_entry","ste_detail","po_detail","sco_rm_detail","scio_detail","putaway_rule","reference_purchase_receipt","job_card_item"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","BOM No. for a Finished Good Item "," ","Material Request used to make this Stock Entry "," "," "," "," "," "," "," "," "," "," "
"The CSV format is case sensitive"
"Do not edit headers which are preset in the template"
"------"
"","","Work In Progress - CWFPL","","SUGAR","SUGAR","","","","","","","","Raw Material","",54,54,"","Kg","Kg",1,"",100,"","","",100,1,"",5400,5400,"","","","","Stock Adjustment - CWFPL","Main - CWFPL","",746.3875,"","","","","","","","","","","","","",""
"","","Work In Progress - CWFPL","","Sodium Benzoate","Sodium Benzoate","","","","","","","","Raw Material","",0.144,0.144,"","Kg","Kg",1,"",100,"","","",100,1,"",14.4,14.4,"","","","","Stock Adjustment - CWFPL","Main - CWFPL","",0.63366,"","","","","","","","","","","","","",""
"","","Work In Progress - CWFPL","","Cola Flavor","Cola Flavor","","","","","","","","Raw Material","",1.296,1.296,"","Kg","Kg",1,"",100,"","","",100,1,"",129.6,129.6,"","","","","Stock Adjustment - CWFPL","Main - CWFPL","",0.09894,"","","","","","","","","","","","","",""
"","","Work In Progress - CWFPL","","Cola Acidulant","Cola Acidulant","","","","","","","","Raw Material","",0.36,0.36,"","Kg","Kg",1,"",100,"","","",100,1,"",36,36,"","","","","Stock Adjustment - CWFPL","Main - CWFPL","",0.03374,"","","","","","","","","","","","","",""
"","","Work In Progress - CWFPL","","Aged Cola Flavour","Aged Cola Flavour","","","","","","","","Raw Material","",0.72,0.72,"","Kg","Kg",1,"",100,"","","",100,1,"",72,72,"","","","","Stock Adjustment - CWFPL","Main - CWFPL","","","","","","","","","","","","","","","",""
